MASP,TENSP,GIA,KHUYENMAI,MOTA,SOSAO,NGSX,MAHSX,TRANGTHAI
1,Jordan 4 Retro White Thunder,5740000,0,"Jordan 4 Retro White Thunder tái hiện lại hình bóng kinh điển của Jordan 4 với một phong cách hiện đại và tinh tế. Lấy cảm hứng từ đôi giày Black and Yellow Thunder 4s được yêu thích, phiên bản mới này mang đến sự tương phản mạnh mẽ với phần trên bằng da lộn đen, được bổ sung bởi các điểm nhấn trắng tinh tế. Đôi giày này có đế giữa màu trắng, tạo nên sự tương phản sắc nét với đế ngoài màu đen, tạo nên một vẻ ngoài vừa nổi bật vừa đa năng. Logo Jumpman đặc trưng trên gót giày và lưỡi gà là một sự tôn vinh di sản phong phú của thương hiệu Jordan, khiến bản phát hành này trở thành một món đồ không thể thiếu đối với người hâm mộ và nhà sưu tập.",4,2024-08-24,1,1
2,Jordan 1 Retro Low OG SP Travis Scott Medium Olive,10110000,0,"Jordan 1 Retro Low OG SP Travis Scott Medium Olive tiếp tục sự hợp tác đáng mơ ước giữa Jordan Brand và Travis Scott, mang đến cho những người yêu giày sneaker một góc nhìn mới về một thiết kế kinh điển. Với phối màu ấn tượng gồm màu olive trung bình, đen, trắng kem và muslin, thiết kế giày thấp cổ này dễ dàng nhận diện với dấu swoosh ngược đặc trưng, một yếu tố đặc trưng của sự hợp tác giữa Travis Scott và Jordan. Chất liệu da cao cấp và da lộn tạo nên sự tương phản về cảm giác, trong khi logo cánh Jordan màu đỏ nổi bật ở gót giày và thương hiệu Cactus Jack ở mặt bên nâng tầm phong cách đặc biệt của giày sneaker này.",5,2024-09-28,1,1
3,Jordan 1 Retro Low OG Mocha,2050000,0,"Giày Jordan 1 Retro Low OG Mocha có phần trên được làm bằng da trắng. Chất liệu và màu sắc này tạo nên các tấm bên hông và mũi giày, với các lỗ nhỏ trên mũi giày để tăng cường thông thoáng khí. Một lớp phủ da màu đen đóng vai trò là mũi giày và chắn bùn, đồng thời nối các lỗ xỏ dây giày dưới cùng với đế giữa. Logo Nike Swoosh màu đen mỏng cũng xuất hiện trên mỗi bên bằng da đen. Da lộn màu Dark Mocha tạo nên gót giày và cổ giày, và cổ giày cũng có logo Air Jordan màu đen. Lưỡi gà cũng có một mảnh dán Nike Air màu Dark Mocha. Đế giữa màu trắng và đế ngoài màu đen hoàn thiện vẻ ngoài của giày.",3,2024-09-21,1,1
4,Jordan 4 Retro Military Blue (2024),3500000,0,"Air Jordan 4 Retro Military Blue 2024 là biểu tượng cho sự đổi mới và phong cách của Jordan Brand. Với đế giày màu trắng ngà, nổi bật với màu xanh quân đội đậm trên các cánh lưỡi gà, gót giày và một phần đế giữa, tạo nên một vẻ ngoài vừa kỷ luật vừa táo bạo. Những chi tiết màu xám trung tính trên mũi giày và đế ngoài cân bằng thẩm mỹ, nhấn mạnh các đường nét sạch sẽ và hình khối hình học của giày.",2,2024-05-04,1,1
5,Jordan 4 Retro SE Paris Olympics Wet Cement,4900000,0,Kỷ niệm phong cách cổ điển khi thể thao bước lên sân khấu thế giới với Jordan 4 Retro SE Paris Olympics Wet Cement. Đôi giày AJ4 sạch sẽ này mang đến sự hoàn hảo với chất liệu da lộn mềm mại và da mịn. Đôi giày toàn màu xám này phù hợp với mọi dịp với vẻ ngoài đơn sắc đa năng.,4,2024-07-27,1,1
6,Jordan 4 Retro Oxidized Green,2850000,0,"Jordan 4 Retro Oxidized Green sử dụng thiết kế giày thể thao Air Jordan 4 retro đặc trưng và cập nhật nó với phối màu Trắng, Xám Trung tính và điểm nhấn Xanh Oxy hóa.",3,2024-06-15,1,1
7,Jordan 4 Retro Bred Reimagined,5000000,0,"Khám phá lại một biểu tượng với Jordan 4 Retro Bred Reimagined, ra mắt vào ngày 17 tháng 2 năm 2024. Giày sneaker này là một cái nhìn mới về đôi giày Jordan 4 mang tính biểu tượng, mang đến một góc cạnh hiện đại cho thiết kế vượt thời gian. Phiên bản mới này bỏ qua chất liệu nubuck truyền thống và kết hợp một cách mới mẻ với phần trên bằng da đen mềm mại. Dòng Reimagined, nổi tiếng với việc thổi hồn mới vào những đôi Air Jordan cổ điển với các chất liệu sáng tạo, khiến bản phát hành này trở thành một món đồ sưu tập thực sự.",5,2024-02-17,1,1
8,Jordan 14 Retro Black Toe (2024),5300000,0,"Air Jordan 14 Retro Black Toe (2024) đã trở lại. Hình bóng mang tính biểu tượng này trở lại với tông màu đen và đỏ rõ ràng, giống với phiên bản gốc.",4,2024-11-02,1,1
9,Jordan 1 Retro High OG Taxi,2600000,0,Air Jordan 1 Retro High OG Yellow Toe mang lại gam màu nổi bật cũng như hình dáng cao của đôi giày sneaker.,3,2022-09-24,1,1
10,Jordan 1 Retro Low OG Howard University,1800000,0,"Jordan 1 Retro Low OG Howard University là một đôi giày thể thao phiên bản đặc biệt nhằm bày tỏ lòng tôn kính đối với lịch sử phong phú và ý nghĩa văn hóa của Đại học Howard. Với tông màu đậm gồm trắng, đỏ thể thao, xanh nước biển đậm, xám trung tính, cánh buồm và vải muslin, phiên bản này tôn vinh di sản mang tính biểu tượng của HBCU đồng thời mang đến diện mạo mới mẻ cho hình bóng Jordan 1 Retro Low OG. Sự pha trộn màu sắc tượng trưng cho niềm tự hào của trường học, hòa quyện giữa phong cách cổ điển của Air Jordan với tinh thần sôi động của Howard.",3,2024-10-12,1,1
11,adidas Yeezy Boost 350 V2 Carbon Beluga,2400000,0,"Đúng vào mùa hè, adidas và Kanye West đã mang đến Yeezy Boost 350 V2 Carbon Beluga, một phiên bản cải tiến của phối màu Beluga cổ điển. Mối quan hệ hợp tác mang tính biểu tượng tiếp tục thách thức những kỳ vọng và xác định lại văn hóa sneaker.",1,2024-05-27,2,1
